comment_normalized	hate	spam	obscene	class
تکرار برنامه ساعت چنده	0	0	0	clean
ساعت چنده	0	0	0	clean
تکرار ش ساعت چنده من ندیدم اقای رامبدجوان	0	0	0	clean
تکرارش ساعت چنده	0	0	0	clean
جنده نظامی فالورام ببخشید این کامنت رو میبینید 🙌	0	1	1	spamobscene
کاننال تو زدملیننک سکسی پیجم 🍆	0	1	1	spamobscene
گگروه لز خانم 🍆	0	1	1	spamobscene
بخورم	0	0	1	obscene
تموم شد؟ خیلی تاثیر گذار بود 😡 😡	1	0	0	hate
چه عجب اقای جوان 😡	1	0	0	hate
محصولات شارژ جدید جنسی شد 😢 🍆	0	1	1	spamobscene
سلام من حسنی هستم کارششناس و مششاور جنسی 🍆	0	1	1	spamobscene
سبزی پلو با ماهی ننت ترابی	1	0	1	hateobscene
انواع ممحصولات جنسی 🍆 ازپیج ممادیدن 🍆	0	1	1	spamobscene
👎🏻 👎🏻 👎🏻 👎🏻 👎🏻 👎🏻 👎🏻 👎🏻	1	0	0	hate
خواهششا یکی بیاد کیرمیخوام 😢 😢 خرابه حالم 🍆	0	1	1	spamobscene
ندیدم تکرارش ساعت چنده	0	0	0	clean
دختر های کم بیان دایرکت 🍆 🍆 💦	0	1	1	spamobscene
دختر های کم بیان سن دایرکت 🍆 🍆 💦	0	1	1	spamobscene
دوتا پسر هاتیم خانم بیاد مکان دارم 🍆 🍆 💦	0	1	1	spamobscene
خیلی به شوگرر ددی داررم مجاازی باشه 💦 💦 🍆	0	1	1	spamobscene
این پردین اخر عاقبتت استت با شوگر ددی 🍆 👅	0	1	1	spamobscene
عکش مییخوام 💦 🍆	0	1	1	spamobscene
سییخه اابشوو میااره؟؟ 💦 💦 🍆	0	1	1	spamobscene
بررده بیاد از اقامون نیست 💦 💦 🍆	0	1	1	spamobscene
رفع تتیرگی فرز 💦 سنگ با 🍆	0	1	1	spamobscene
🍆 👌 🥒 👌 🍑 🍆 🤬 🤬	0	0	1	obscene
مریض خانم برا دختر وو معاینه بیاد 🍆 🍆 💦	0	1	1	spamobscene
👎 👎	1	0	0	hate
سکسی فیلم میخوای بیا اینجا 💦	0	1	1	spamobscene
اخخ تو چقدر کردنی هستی جیگرر 💦 💦	0	0	1	obscene
 برو توی این پیج پست 💦 💦 گذاشته سکسی	0	1	1	spamobscene
 وائمیی زودانزالیی و کوتاهیی الت 💦	0	1	1	spamobscene
خواهرتو مادرتو زنتو دوست دخترتو با خرید نقره و گردنبند و دستبند سنگی هفت چاکرا از پیجم خوشحال کن ☺ ☺	0	1	1	spamobscene
سلام تکرارش ساعت چنده ؟؟	0	0	0	clean
من ندیدم تکرارش ساعت چنده	0	0	0	clean
کردن 😢 😢 منو‌ فالو کنین پیجمو لاشیا پاک‌ میشه 🍆	0	1	1	spamobscene
مشکل بیا و‌زودانزالی داری جنسی پیجم 🍆 🍆 🙌	0	1	1	spamobscene
با سلام بهنوش ده ارا روانشناس مرکز مشاوره تلفنی تلیار تمایل صورتیکه هستمدر به مشاوره تلفنی روانشناسی در زمینهمشکلات فردی خانوادگی جنسی ترک اعتیادودارید میتوانید از سراسر ایران برای مشاوره تماس بگیریدجهت راهنمایی بیشتر در دایرکت پاسخگو هستم 🍆	0	1	1	spamobscene
من واقعا لزبین هستم 👭 اگه دختری دلش میخواد لز تجربه کنه 🔥 تو تلگرامم بهم پی ام بده 🏳️‍🌈	0	1	1	spamobscene
ححوضوری تهران 🍑 کلی دارم 🍆	0	1	1	spamobscene
 های محترم کلی 🍑 🍑 لباس زنونه قشنگ براتون دارم 🍑 🍆	0	1	1	spamobscene
سوالات جنسی خود را از بپرسید 💞 💞 🍆	0	1	1	spamobscene
🍆 🍆 پرچم‌‌بالاس 🍑	0	1	1	spamobscene
خخانوما کی خخشن دوس داره؟؟ 🍆 🍆 🍑	0	1	1	spamobscene
دوستانن علاقه منند به حیواننات خوننگی اکواریوم مخصوصا ماهی دیسکس به پیج منن سر بزننید 🍆 🍆 🍑	0	1	1	spamobscene
تصوویری وواقعی 🍑 جووری برات ناله میکنم دیوونه 🍆	0	1	1	spamobscene
تو یه مهمونی غیر مستقیم چه کار کنم یه جمع پسر برا شب همزمان منو بخوان 😖 🙈 🍑 🍆 🍆 🔥	0	1	1	spamobscene
 سسکی ببفرست 🍑	0	1	1	spamobscene
ددخترا و خانوما سکسی استوریم رو 🍑 🍑 بددین جواب	0	1	1	spamobscene
دوستان سکس چت با عکس و فیلم بیایین دایرکت اول ثابت میکنم دخترم باشارژبیایین هم سلامیاسلام خوبی جواب نمیدم درست سکس چت میخوای بگگو الکی نیا 🍑 🍑 شیطونا 🍑 🍑	0	1	1	spamobscene
من میمردم برات اگه تو لز بودی 🤦‍♀️ 🔥 😛 💦 😁	0	0	1	obscene
سلام سلیمانی هستم کارشناس ودرمانگرمشکلات جنسی 💦	0	1	1	spamobscene
تا به مردها رسید و صحبت راجب دیدنشون یهویی همه فاز خخنده و شادی گرفتید نکشیدمون ک‌س لیس های واژن پرست 💦	0	1	1	spamobscene
اگه کوتاهی الت داری بیا تو 🍑	0	1	1	spamobscene
لطفاا کیر کلفت فقط از شیراز بیاد دایرکت فقط ساک میزنم پولی هم نیستم لطفاا کیر کلفت از شیراز بیاد دایرکت برای حضوری	0	1	1	spamobscene
بهترین رووش ووپزشک ترمیم بکارت 🍆	0	1	1	spamobscene
خب تو نذار زن و دخترت برن استخر مختلط 😂 😂	0	0	1	obscene
😡 ✌	0	0	0	clean
از بچه گی داف بودی سکسی	0	0	1	obscene
منم شوگر ددی میخواام 💦	0	1	1	spamobscene
شوگر مامی بیاد مشهد دایرکت 💦	0	1	1	spamobscene
شوگر ممیخوامم 💦 💦 مماممی	0	1	1	spamobscene
مییخوام 💦 ددیی شوگر	0	1	1	spamobscene
شوگر مامی در حد ننو ننمیخوایی خاننم 💦	0	1	1	spamobscene
ایدی هها بچهه یا شمارهه یهه شوگر و میدید 💦	0	1	1	spamobscene
تتلو شوگر زدی ایندفعه؟؟ 💦	0	1	1	spamobscene
زر	1	0	0	hate
خاله سلام ففقط تماس بگیر امشب کنار کیس جذاب و دوست داشتنی 💦 کد مورد نظر جهت انتخاب کد دوستان عزیزم مکان های ما کاملا سیفف و مطمئن هست و همه خانوما دارای کارت سلامت و بهداشت هستن و شیوه برخوردشون با مشتریان عزیز ما خوب و در حد عالی هستش کلیه لوازم بهداشتی مورد نیاز و ففضای ساعت و وی ای پی جهت ارائه سکس و ماساژ 💦 امکان مکان خود مشتری و ارسال کیس به مکان مشتری عزیز 💦 پذیرایی از مشتریان و میهمانان عزیز به صرفف میوه و نوشیدنی 💦 کاملا رایگان هست در خدمت همه دوستای گلم هستم 💦 💦 لطففا جهت هماهنگی برنامه یک اروم و جهت برنامه مساففرت یک روز قبل تماس بگیرید ممنون از شما بزرگواران 💦 💜	0	1	1	spamobscene
اگه دنبال اهنگ سیستم خفن و پر انرژی برای های ماشینت یا ورزش کردنی به کانال ماهم یه سری بزن 🍆	0	1	1	spamobscene
زیباترین پورن استار جهان 😍	0	0	1	obscene
خانومای هات حشری دایرکت 💦 🔥	0	1	1	spamobscene
خدمات جنسی 🔥 💦	0	1	1	spamobscene
از جنسی و امیزشی پیچمون دیدن بفرمایید 🍑 🍑	0	1	1	spamobscene
 محصولات جنسی 🍑 👅	0	1	1	spamobscene
فوتفتیشمم و لیسرمم خانوممای ممشهدی که عاشق لیس بیان دایرکتمم 🍑	0	1	1	spamobscene
ماا جنسی خود راا ااز سواالاات بپرسید 😢 😢 🍑	0	1	1	spamobscene
حراج شد روسریی شال تومنیی و سوتیین شورت تومنیی در کانال ما 🍑	0	1	1	spamobscene
اگر همسرت باتو رابطه جنسی محبتشش کمرنگ ششده اشش کم ششده همیششه سمت و سوی خانواده خودشش هست برای اینکه اورا به خودت جذب کنی ازین سید بزرگ کمک بخواه معجزه ای میکند یک هفته ای هرانچه بگویی همسرت عمل کند و گوشش به فرمان تو ششود دایرکت تلگرام حضوری غیر حضوری کار میکنه این ایدی اینستاگرامشش 🍑	0	1	1	spamobscene
سحر چته ؟؟اخه لایک داره تا لایک زدین روش هولای بدبخت ☹️ ☹️ ☹️ ☹️ ☹️ ☹️ 💦 💦 دهن ادم هول	0	1	1	spamobscene
ویدیو های از پیج ما را سکسی دست ندین 🔥 🔥 🍆	0	1	1	spamobscene
کاملا راست گفته و اصلا دروغ بلد نیست بگه	1	0	0	hate
 حرففه 🙌	0	0	1	obscene
دروغ اش هم جرات میخواد خدایی دمت گرمم	1	0	0	hate
چه عکسایه سکسی 💦 💦 😋 😋 🔥 🖤	0	0	1	obscene
شوگر 🍑	0	1	1	spamobscene
شوگر ممیخوامم 🍑	0	1	1	spamobscene
شوگر لاارج بیااد 🍑	0	1	1	spamobscene
بیا پیوی بدم 💦 💦 عکس 🍑	0	1	1	spamobscene
شوگر بیادد ددی ددایرکت 🍑	0	1	1	spamobscene
دختر یاا خاانوم 🍑 بیااد 💦	0	1	1	spamobscene
شوگر مامی مامی مامی 🍑 🍑 👅	0	1	1	spamobscene
شوگر بیاد واقعی بچچه زرنگ نیاد 🍑	0	1	1	spamobscene
فیلمم سوپر دارمم 💦 کی ممیخاد 💦 🍑	0	1	1	spamobscene
👅 🤤 کسی توله کوچولوونمیخوااد؟	0	1	1	spamobscene
امنه دوست دارم 💦 🍆 😋	0	0	1	obscene
چه سکسی خوشگل شدیی 💦 💦 💡 💡	0	0	1	obscene
حراج شد روسری شال تومنی و سوتین شورت تومنی کانال ما 💞	0	1	1	spamobscene
گروه سکسی زدیم لینک تو بیو هرکی میخاد بیاد 👙 👙 💦 💦 👙 ❤️ ❤️ 😘 😘	0	1	1	spamobscene
 تو پیج فیلم سوپر نگاه کنین 🍑 🍑 🔥	0	1	1	spamobscene
الا دینسیز 😉 🍑 💦	0	0	1	obscene
به یک عدد داف جهت ممسافرت ب شممال 💦	0	1	1	spamobscene
پیج ناب مخصوص علاقمندان و حوااشی یست ها ایرانی و خارجی حواشی بازیکنان و پارتنرهاشون حواشی ورزشکارهای مشهور و پارتنرهاشون تمام اتفاقات ی داخلی و خارجی رو اینجا دنبال کنید فان سرگرمی استوری های ما رو از دست ندید 💦 💦 🍑	0	1	1	spamobscene
تیرگی بکینی و بغلت کلافت کرده؟ 👅 👅 لک ها و جوش های صورتت اعتماد به نفستو پایین اورده؟ 👅 👅 ترک های پوستی داری رو بدنت؟؟ 👅 👅 بیا تو پیجم تا کمکت کنم 👅 👅 🍆	0	1	1	spamobscene
عزیزم شما فقط چارقد برنداشتی به طور کامل لخت شدی بله دیگه مرحله به مرحله اول روسری برمی دارن بعد هم کم کم به شعار ن به شورت و سوتین اجباری خواهند رسید احتمالا رهبرشم که خودتی خوش به غیرت مردامون البته پیشرفت تو ایران فقط برا حجابه نمی دونم چرا مسایل اقتصادی راهکار نمی دن	0	0	1	obscene
شوگردد‌‌ادی‌‌بودش 🔥	0	0	1	obscene
سجاد توپولی چطوری گوگولی مگولی بوس کردنی	0	0	1	obscene
تکرارش ساعت چنده پخش میشه؟ 🙌 😮	0	0	0	clean
تکرارش ساعت چنده اقای جوان	0	0	0	clean
سلام تکرارش ساعت چنده ما نتونستیم ببینیم	0	0	0	clean
ساعت چنده سلطان 💖 👑 😍 😍	0	0	0	clean
تکرارش ساعت چنده کسی می دونه ؟ 😍 😍	0	0	0	clean
دمت گرم سبزی پلو با ماهی	0	0	0	clean
👌 👌 😡 😡	1	0	0	hate
اوضاع اینترنت خرابه جناب شاتل	0	0	0	clean
ایرانسل زنده ای نت خرابه	0	0	0	clean
عمه خانم‌روحت شاد	0	0	0	clean
اوضاع لاستیک همه خرابه 😢	0	0	0	clean
یا زینب عمه جانم	0	0	0	clean
اینترنت خیلی خرابه هی قطع وصل میشه	0	0	0	clean
علی عمه	0	0	0	clean
ایرانسل نتو درست کن پینگ کالاف خیلی خرابه	0	0	0	clean
اقای جوان گل دخترت کجاست برادر؟؟	0	0	0	clean
حراج شد 🗣️ 🗣️ 🗣️ 😱 😱 😍 روسری شال تومنی و سوتین شورت تومنی در کانال ما 🌷	0	1	1	spamobscene
بخورمت 💦 💦	0	1	1	spamobscene
عیدت مبارک کون گشاد 😍	0	0	1	obscene
خیلی وضع اینترنت خرابه همش قطع و وصل میشه	0	0	0	clean
😡 🖤	1	0	0	hate
🤢 🤢	1	0	0	hate
خودش توجوونی هزارتاغلط کرده حالا واسه من جاومکان یادجوونامون میخوادبده ماملت ایران یادمیگرفتیم توکارهم دخالت نکنیم تازمانی ک به مااسیبی نرسیده گلستان بود ایرانمون تومیبینی زنشو بوس میکنه چشم هیز وفضولتو بنداز پایین ❤️	0	0	1	obscene
فیلم پورن زری خیلی قشنگه حتما ببینین	0	0	1	obscene
چه مصلی ایا منه بغلت کافر	0	0	0	clean
ساعت پخشش چنده	0	0	0	clean
سلام کد تخفیف درصد چنده ؟	0	0	0	clean
هه قربون نقاشیای روی بدنت برم بنازم بنازم سلطون	0	0	0	clean
عمه خانم عزیز روحت شادوقرین رحمت و ارامش الهی 🙏🏻 🖤 💔 🖤 🥀 🥀	0	0	0	clean
ساعت بخش چنده	0	0	0	clean
دلار چنده استاد	0	0	0	clean
ای جان قربون قلب کردنت عشق	0	0	0	clean
کد اهنگ پیشتواز پرسپولیس چنده ؟	0	0	0	clean
‌الان نون قیمتش چنده پهلوان	0	0	0	clean
نقی هما چیزی نگه یه وقت این بغلت کرده 😮 😂 ❤	0	0	0	clean
کانال سکسی زدم 😍 💦 لینک تو پیجم 👅 😻	0	1	1	spamobscene
دلار چنده	0	0	0	clean
اقای حیایی دوست داشتنی و مهربان خواهشا لز بچه‌های حمایت کنید خصوصا فاطمه به کمک معنوی شما احتیاج هست 💦	0	1	1	spamobscene
لطفا برسی کنید نت خرابه 😐 😐	0	0	0	clean
دلار چنده بچه	0	0	0	clean
ماشالا عمه 😍 😍	0	0	0	clean
💦 سلام دوستان اگرعلاقه هاواسرارخوراکیها خواص میوه داریددرمورد 💦 💦 اطلاعات بیشتری بدست بیاورید به پیج ماسربزنید 💦 💦 سلامت باشید 💦 💦 🍑	0	1	1	spamobscene
خدا سایه ات رو برای دخترت نگه داره ❤️	0	0	0	clean
 حیایی دوست داشتنی و مهربان 🍑 خخواهشا لز بچه‌های حمایت کنید خخصوصا فاطمه 🍑 به کمک معنوی شما خخیلی احتیاج هست خخیلی 🍑	0	1	1	spamobscene
🔴 سلام دوستان اگرعلاقه داریددرمورد خواص میوه هاواسرارخوراکیها 🍒 🍌 🍑 🍎 🍏 🍆 🍓 🍅 🍍 🍳 اطلاعات بیشتری بدست بیاورید به پیج ماسربزنید ❤️ ❤️ ❤️ ❤️ سلامت باشید 🤗 🤗	0	1	1	spamobscene
سلام دوستتای امیدوارم حال دل تتون خوب باشه من اومدم با پیج شب جمعه میخوام کمک کنید با فالو کردن لایک کردن و کامنتت گذاشتتن ویدئو های جذابی میزارم از پلنگا بیاید دیدن کنید و حالشو ببرید در ضمن تتو پیجم کانال تتلگرام مون رو گذاشتتم که کلی فیلم های سسکی هستت و خوب قلقلکتت میده از دستت نده زود بیا تتو پیجم و کلی لذتت ببر 💞 💞 🍑	0	1	1	spamobscene
ایشالا سالیان سال شاهد اقایی کردنت باشیم 😍 ❤ 👑	0	0	0	clean
خیلی دوست دارم پورن استار شی دوست دارم با عمو جانی فیلم بازی کنی عزیزم ❤️ ❤️ ❤️ ❤️	0	0	1	obscene
تو عزیزم شرت و سوتین برداشتی اونم نه برای انقلاب بلکه برای کار و جلبه توجه با اینکه خیلی دوست دارم ولی نتونستم جواب ندم	0	0	1	obscene
🍆 🍆 سلام مرد خوشتیپ و لارج بیاد دایرکت جهت سرگرمی و عشق و حال 🍆 🍆 👅	0	1	1	spamobscene
تسلیت به حاج سعید طوسی استاد صوت اقا مجتبی مون بخاطر شهادت جانکاه و مظلومانه جناب کربلایی حاج جورج فلوید متولد نجف اشرف و بازیگر پورن استار	0	0	1	obscene
حالمون واقعا خرابه 🖤	0	0	0	clean
این بوس و این دست چیه همش میذاری 😶	0	0	0	clean
بی زحمت پیج منم استوری کنید خیلی اوضاع خرابه	0	1	0	spam
چ دافی	0	0	0	clean
چه دافی	0	0	0	clean
عجب دافی	0	0	0	clean
یاسر پلنگ	0	0	0	clean
پلنگ پلنگ	0	0	0	clean
دافی بودی	0	0	0	clean
پلنگ میدان	0	0	0	clean
پلنگ ایران	0	0	0	clean
چه دافی 😂	0	0	0	clean
جون چ دافی	0	0	0	clean
پلنگ مازرون	0	0	0	clean
پلنگ ایرانی	0	0	0	clean
شاه شاه پلنگ	0	0	0	clean
سالاریی پلنگ	0	0	0	clean
ماشالاه پلنگ	0	0	0	clean
پلنگ ماشالله	0	0	0	clean
جیشو بوس قلب	0	0	0	clean
اوفف چه دافی	0	0	0	clean
پلنگ کوچه خلوت	0	0	0	clean
سلام پلنگ جهان	0	0	0	clean
پلنگ ایران ❤ ❤	0	0	0	clean
جان شه پلنگ دا	0	0	0	clean
دافی بودیاا 😂	0	0	0	clean
جانت بشم پلنگ ❤	0	0	0	clean
چ دافی شدی امین	0	0	0	clean
واقعا پلنگ جویباری	0	0	0	clean
شب تیرگی رفع با لامپ 🍆	0	1	1	spamobscene
🍆 رفع تیرگی وااژن باا سنک 	0	1	1	spamobscene
رفع تیرگی با اره و اسید 🍆	0	1	1	spamobscene
ااگه دوسرفعنی که کاامنت تاا تیرگی وااژن میزاارن ااجاازه میدن رفع ماا هم یه کاامنتی بزااریم؟ 🍆	0	1	1	spamobscene
رفع تیرگی واژن با سمباده و سنگ پا 🍆	0	1	1	spamobscene
پلنگ مازندرانه داا	0	0	0	clean
❤ ❤ پلنگ ایران توی	0	0	0	clean
چه دافی بودی خدایی	0	0	0	clean
خوب دافی گیرش اومد	0	0	0	clean
دختره عمه شهین حلالت	0	0	0	clean
خاله هستمم 🍆	0	1	1	spamobscene
🫢🫢 🤢	1	0	0	hate
دخترم سالمه 🍆	0	1	1	spamobscene
فوری تصویری 🍆	0	1	1	spamobscene
ویدیو دایرکت 🍆	0	1	1	spamobscene
داستانی دایرکت 🍆	0	1	1	spamobscene
 ددی میخوام 👅 🍆	0	1	1	spamobscene
ووان 👅 👅 نامبر 🍆	0	1	1	spamobscene
دختر دایرکت بیا پایه 🍆	0	1	1	spamobscene
دایرکت غیرجنسی داستانی 🍆	0	1	1	spamobscene
داغم بیا دایرکت خال کنیم 🍆	0	1	1	spamobscene
ماساژور هستم کاربلد پرقدرت 🍆 🍆 👅	0	1	1	spamobscene
بدنم سفیدوبی موساایزمم عاالی بیااد 🍆 🍆 👅	0	1	1	spamobscene
🍆 🍆 دایرکت	0	1	1	spamobscene
کی میاد دایرکت 🍆	0	1	1	spamobscene
مشتری واقعی دایرکت 🍆	0	1	1	spamobscene
دکتتر کی بشم 🍆	0	1	1	spamobscene
پیشنهاد ویلا ما پارتتی شبانه 🍆	0	1	1	spamobscene
 ففقط براای خاانوومای تهرانی 🍆	0	1	1	spamobscene
ی دختر بیااد داارم میدمش 👅 مااسااژ 🍆	0	1	1	spamobscene
شوگرر ددی 🍆	0	1	1	spamobscene
یی دختر مییمالمش خانم بمییمالمشد دارم ییا داییرکت 👅 🍆	0	1	1	spamobscene
👅 زن سن بالا ییا دختر سن پایین 👅 🍆	0	1	1	spamobscene
 بیاد تهران مکان دارم 🍆 🍆	0	1	1	spamobscene
خانمی که نیاز داره پیام بده تبریزم 🍆 🍆 👅	0	1	1	spamobscene
سن بیان بالا از اصفهان 🍆	0	1	1	spamobscene
پایه مجازیم 🍆	0	1	1	spamobscene
برده 🍆 فوری تهران 😢	0	1	1	spamobscene
 خیس شده 🍆 😢	0	1	1	spamobscene
عکس نداا یاسی استووری شد 🍆	0	1	1	spamobscene
 از اصفهان جهتت اشنایی و ازدواج هستت ایا 🍆	0	1	1	spamobscene
 زنگ بزن با مکان 🍆	0	1	1	spamobscene
 کارم بیا 🍆	0	1	1	spamobscene
تصویری واقعیاندام و عالیهه صدام 🍆	0	1	1	spamobscene
مااسااژ میخاای خوب بیاا همینجاا ااز 😢 😢 🍆	0	1	1	spamobscene
سلام پسررم 🍆	0	1	1	spamobscene
 میادد مکالمه؟؟ 🍆	0	1	1	spamobscene
بیا زوود استووریم 🍆	0	1	1	spamobscene
وای کلوچم کسی هست داستانی بیاد معاینه منوو 🍆	0	1	1	spamobscene
گرووپ استوریمم 🍆	0	1	1	spamobscene
عکش پوررن میخوام 🍆	0	1	1	spamobscene
فوتفتییشم و لییسرم خانومایی مشهدیی عاشق لییس زدنن بییان داییرکتم 🍆	0	1	1	spamobscene
اگر همسرت کنارت نیست حتما استوری ببین پیجمو های 🍆 🍆 😢	0	1	1	spamobscene
گرووپ 🍆	0	1	1	spamobscene
سلام کلییپ خاکبرسریی مختارنامه و ییوزارسییف رو گذاشتم بریید حالشو ببریید 😢 😢 اگه خوشتون اومد واسه هایی بییشتر مارو فالو کنیید 🍆	0	1	1	spamobscene
زوججیم اباد 🍆	0	1	1	spamobscene
ممیخواد؟ 😢 😢 کی دلش تلممبه خانومما 🍆	0	1	1	spamobscene
پسرا داییرکت 🍆 🍆 خییلیی بده تروخدا بییایین حالم	0	1	1	spamobscene
پیششنهاد ما ویلا پارتی ششبانه 🍆	0	1	1	spamobscene
کی تص؟ 🍆	0	1	1	spamobscene
بچهه شب جمعهه یا مسگر اباد یا سرخهه حصار 🍆	0	1	1	spamobscene
توش باشه 🔥 😂 😂	0	0	1	obscene
سلاام زگیل درماان شد 🍆	0	1	1	spamobscene
حالم بده باد کررده سرریع دایررگت بدید 👅 🍆	0	1	1	spamobscene
خانم میخوام 🍆	0	1	1	spamobscene
واژن تیرگگی رفع با سنگگ فرز در سه سوت 🍆	0	1	1	spamobscene
زود انزالی داری و از تایم انزالت راضی 🍆	0	1	1	spamobscene
مامانم تو ححمومه الان خیار میخواد یشه بنظرتون 🍆	0	1	1	spamobscene
اخخ بخورمم 😢 میخواد جر دلم 🍆	0	1	1	spamobscene
 دداستانی 🍆	0	1	1	spamobscene
تتنهام یکی بیاد پیشم 🍆	0	1	1	spamobscene
الان لختتم	0	1	1	spamobscene
تمام محصولات داخل پییجم 🍆 🍆 😢	0	1	1	spamobscene
هرکسی خودش یا مامانش میخواد تو شرکت با حقوق و مزایای استخدام شه پیام بده 🍆	0	1	1	spamobscene
از خیسی لای پام نمیتونم 🍆	0	1	1	spamobscene
جننددگگیی بیاد اموزشش بدم یادش بدم چطور واسسه مردا دختر کنه مشترری جذب کنه 😢 🍆	0	1	1	spamobscene
بردهه ته از بیاد اقامون نیست 🍆 🍆	0	1	1	spamobscene
کی با چو‌‌چو‌‌لم ل‌‌ب 🍆	0	1	1	spamobscene
 سیخم 🍆	0	1	1	spamobscene
تهران بدون پیش پرداخت 🍆	0	1	1	spamobscene
استوری اقایون مجرد و متاهل 🍆 🍆	0	1	1	spamobscene
 بیاد دایررکتت یادش بدم اموزشش بدم که جننددهه بشه 🍆 🍆 😢	0	1	1	spamobscene
خااناازدوااجم ااز ااصفهاان جهت ااشناایی اازدوااج اازداازدوااجااج هست اایاا 🍆	0	1	1	spamobscene
هرر کی کییر و ابداار میخوااد بیااد دایررکت بگاام 🍆	0	1	1	spamobscene
ماسور مخصوص هات وایف و فرمدهی 🍆	0	1	1	spamobscene
مامانم ببنظرتون حمومه الان خیار میخواد واسه یشه تو 🍆	0	1	1	spamobscene
 ککییرم یککی بیاد دایرککت 🍆 🍆	0	1	1	spamobscene
 ر‌‌یخ عا‌‌خخ 🍆	0	1	1	spamobscene
کسی شرایط ازدواج توافقی داره؟ لطفا بی ادب و فیک نیاد دایرکت جواب نمیدم 🍆	0	1	1	spamobscene
صکص وتصویری با هزینه پی 🍆	0	1	1	spamobscene
متاسفم عزیزم نمیتونی	1	0	0	hate
دخترا کی اول صبحی خیسه و میخاره بیاد ارومش کنم بلیسمم 🍆	0	1	1	spamobscene
 سیخو لیزم 🍆	0	1	1	spamobscene
 ممیخامم 🍆	0	1	1	spamobscene
باههم پسرسفیدوبی مومثل خودم بیا یهه 🍆	0	1	1	spamobscene
خیسسم 🍆	0	1	1	spamobscene
کی ممیمماله؟؟ کصممو	0	1	1	spamobscene
درمان تناسلی زگیل شد 🍆 😢	0	1	1	spamobscene
🔥 🔞 خانوما استوریامو ببینن 🔥 🔞	0	1	1	spamobscene
بیااد یکی پی وی 🍆 🍆	0	1	1	spamobscene
متاسفم اراد	1	0	0	hate
 م 🍆	0	1	1	spamobscene
🍆 🍆 تتلیتی چه خبرر زد توش بررات از	0	1	1	spamobscene
حیفه فحش	1	0	0	hate
چشمت دراد	1	0	0	hate
میومدی حالا انفالو	1	0	0	hate
توجیه	1	0	0	hate
پایان مماشات ترند کنید	1	0	0	hate
پایان مماشات	1	0	0	hate
انفالوش کنین لامصبا	1	0	0	hate
اصلا توجیه نداره	1	0	0	hate
سکسی کی بودیشماره یک سینما	0	0	1	obscene
خانم 	0	1	1	spamobscene
عکش پورن میخوام 😢	0	1	1	spamobscene
چرا انفالوش کردی؟	1	0	0	hate
پورن بفرسیتد	0	1	1	spamobscene
 دااغم	0	1	1	spamobscene
 چرا انفالوش کردی؟	1	0	0	hate
لز هستین	0	0	1	obscene
😂 ’ ’ 	0	0	0	clean
